branch,i,j,k,r_ijk_analytic_pmV,r_ijk_findiff_pmV,rel_diff,method,rotation_applied
LDA@PBEsol-geometry,x,x,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,x,y,x,-26.231275,-26.231275,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,x,z,x,39.540102,39.540102,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,y,x,x,-26.231275,-26.231275,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,y,y,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,y,z,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,z,x,x,39.540102,39.540102,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,z,y,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,z,z,x,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,x,x,y,-26.231275,-26.231275,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,x,y,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,x,z,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,y,x,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,y,y,y,26.231275,26.231275,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,y,z,y,39.540102,39.540102,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,z,x,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,z,y,y,39.540102,39.540102,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,z,z,y,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,x,x,z,38.381734,38.381734,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,x,y,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,x,z,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,y,x,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,y,y,z,38.381734,38.381734,0.0,"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
LDA@PBEsol-geometry,y,z,z,0.0,0.0,n/a (near-zero component),"full 3x3 matrix: r_k = -eps^-1 G_k eps^-1 (G_k, eps^-1 both genuine matrices, not diagonal shortcut)","IDENTITY (proven via scripts/derive_symmetry_from_actual_frame.py: QE's raw Cartesian frame already coincides with the conventional mirror-normal-along-x 3m frame, verified against the actual spglib Cartesian symmetry operations, not assumed)"
